Store	Date	Year	Week	Sales	Trans	Ticket
0001	2015-05-24	2015	21	74468.05	4198	17.73893521
0001	2015-05-31	2015	22	87829.99	4662	18.83955169
0001	2015-06-07	2015	23	88058.13	4705	18.71586185
0001	2015-06-14	2015	24	85823.51	4605	18.63702714
0001	2015-06-21	2015	25	72794.74	3686	19.74897992
0001	2015-06-28	2015	26	71559.8	3659	19.55720142
0001	2015-07-05	2015	27	76998.46	4167	18.47815215
0001	2015-07-12	2015	28	78919	4367	18.07167392
0001	2015-07-19	2015	29	73969	3824	19.34335774
0001	2015-07-26	2015	30	71735.25	3905	18.37010243
0001	2015-08-02	2015	31	83148.08	4262	19.5091694
0001	2015-08-09	2015	32	81872.8	4322	18.94326701
0001	2015-08-16	2015	33	75060.42	4167	18.01305976
0001	2015-08-23	2015	34	75321.64	4250	17.72273882
0001	2015-08-30	2015	35	79332.62	4281	18.53132913
0001	2015-09-06	2015	36	90904.78	4855	18.72395057
0001	2015-09-13	2015	37	97555.55	5103	19.11729375
0001	2015-09-20	2015	38	95375.38	5161	18.48001938
0001	2015-09-27	2015	39	90517.09	4761	19.01220122
0001	2015-10-04	2015	40	101217.31	5383	18.80314137
0001	2015-10-11	2015	41	108796.13	5756	18.90134295
0001	2015-10-18	2015	42	98029.18	5474	17.90814395
0001	2015-10-25	2015	43	106607.7	6227	17.12023446
0001	2015-11-01	2015	44	105028.32	5155	20.3740679
0001	2015-11-08	2015	45	118032.06	5787	20.3960705
0001	2015-11-15	2015	46	132217.96	5956	22.19912021
0001	2015-11-22	2015	47	195654.92	7714	25.36361421
0001	2015-11-29	2015	48	193091.15	8208	23.52475024
0001	2015-12-06	2015	49	198412.82	8785	22.58540922
0001	2015-12-13	2015	50	214321.46	9632	22.25098214
0001	2015-12-20	2015	51	152606.61	7399	20.62530207
0001	2015-12-27	2015	52	70202.81	4108	17.08929163
0001	2016-01-03	2016	1	77667.34	3949	19.66759686
0001	2016-01-10	2016	2	76991.83	3983	19.33011047
